Sintoma 1,Sintoma 2,Doença Associada,tipo_termo,fonte,trecho_literal,observacao
dores no peito,dor no peito,Hipertensão,variante_leiga,assets/textos/texto_02_hipertensao-pressao-alta-ministerio-saude.txt,"Os sintomas da hipertensão costumam aparecer somente quando a pressão sobe muito: podem ocorrer dores no peito, dor de cabeça, tonturas, zumbido no ouvido, fraqueza, visão embaçada e sangramento nasal.","A fonte ressalva que os sintomas só costumam aparecer quando a pressão sobe muito. Compartilhado com Infarto, onde dor no peito é termo literal."
dores no peito,peito doendo,Hipertensão,variante_leiga,assets/textos/texto_02_hipertensao-pressao-alta-ministerio-saude.txt,"Os sintomas da hipertensão costumam aparecer somente quando a pressão sobe muito: podem ocorrer dores no peito, dor de cabeça, tonturas, zumbido no ouvido, fraqueza, visão embaçada e sangramento nasal.",Compartilhado com Infarto (mesma variante).
dor de cabeça,dor na cabeça,Hipertensão,variante_leiga,assets/textos/texto_02_hipertensao-pressao-alta-ministerio-saude.txt,"Os sintomas da hipertensão costumam aparecer somente quando a pressão sobe muito: podem ocorrer dores no peito, dor de cabeça, tonturas, zumbido no ouvido, fraqueza, visão embaçada e sangramento nasal.",Compartilhado com AVC: lá o termo literal é dor de cabeça súbita.
dor de cabeça,cabeça doendo,Hipertensão,variante_leiga,assets/textos/texto_02_hipertensao-pressao-alta-ministerio-saude.txt,"Os sintomas da hipertensão costumam aparecer somente quando a pressão sobe muito: podem ocorrer dores no peito, dor de cabeça, tonturas, zumbido no ouvido, fraqueza, visão embaçada e sangramento nasal.",Compartilhado com AVC: lá o termo literal é dor de cabeça súbita.
tonturas,tontura,Hipertensão,variante_leiga,assets/textos/texto_02_hipertensao-pressao-alta-ministerio-saude.txt,"Os sintomas da hipertensão costumam aparecer somente quando a pressão sobe muito: podem ocorrer dores no peito, dor de cabeça, tonturas, zumbido no ouvido, fraqueza, visão embaçada e sangramento nasal.","Singular, como o paciente fala. Compartilhado com AVC, onde tontura é termo literal."
tonturas,tonto,Hipertensão,variante_leiga,assets/textos/texto_02_hipertensao-pressao-alta-ministerio-saude.txt,"Os sintomas da hipertensão costumam aparecer somente quando a pressão sobe muito: podem ocorrer dores no peito, dor de cabeça, tonturas, zumbido no ouvido, fraqueza, visão embaçada e sangramento nasal.",Compartilhado com AVC (mesma variante). A flexão feminina (tonta) fica para a normalização do extrator.
tonturas,cabeça rodando,Hipertensão,variante_leiga,assets/textos/texto_02_hipertensao-pressao-alta-ministerio-saude.txt,"Os sintomas da hipertensão costumam aparecer somente quando a pressão sobe muito: podem ocorrer dores no peito, dor de cabeça, tonturas, zumbido no ouvido, fraqueza, visão embaçada e sangramento nasal.",Compartilhado com AVC (mesma variante).
zumbido no ouvido,ouvido zumbindo,Hipertensão,variante_leiga,assets/textos/texto_02_hipertensao-pressao-alta-ministerio-saude.txt,"Os sintomas da hipertensão costumam aparecer somente quando a pressão sobe muito: podem ocorrer dores no peito, dor de cabeça, tonturas, zumbido no ouvido, fraqueza, visão embaçada e sangramento nasal.",Só aparece em Hipertensão.
zumbido no ouvido,chiado no ouvido,Hipertensão,variante_leiga,assets/textos/texto_02_hipertensao-pressao-alta-ministerio-saude.txt,"Os sintomas da hipertensão costumam aparecer somente quando a pressão sobe muito: podem ocorrer dores no peito, dor de cabeça, tonturas, zumbido no ouvido, fraqueza, visão embaçada e sangramento nasal.",Só aparece em Hipertensão.
fraqueza,sem forças,Hipertensão,variante_leiga,assets/textos/texto_02_hipertensao-pressao-alta-ministerio-saude.txt,"Os sintomas da hipertensão costumam aparecer somente quando a pressão sobe muito: podem ocorrer dores no peito, dor de cabeça, tonturas, zumbido no ouvido, fraqueza, visão embaçada e sangramento nasal.","Compartilhado com AVC. Aqui a fraqueza não tem lateralidade; no AVC ela é em um lado do corpo."
fraqueza,corpo fraco,Hipertensão,variante_leiga,assets/textos/texto_02_hipertensao-pressao-alta-ministerio-saude.txt,"Os sintomas da hipertensão costumam aparecer somente quando a pressão sobe muito: podem ocorrer dores no peito, dor de cabeça, tonturas, zumbido no ouvido, fraqueza, visão embaçada e sangramento nasal.","Compartilhado com AVC. Aqui a fraqueza não tem lateralidade; no AVC ela é em um lado do corpo."
visão embaçada,vista embaçada,Hipertensão,variante_leiga,assets/textos/texto_02_hipertensao-pressao-alta-ministerio-saude.txt,"Os sintomas da hipertensão costumam aparecer somente quando a pressão sobe muito: podem ocorrer dores no peito, dor de cabeça, tonturas, zumbido no ouvido, fraqueza, visão embaçada e sangramento nasal.",Próximo de alteração na visão (AVC): ambiguidade de conceito.
visão embaçada,vista turva,Hipertensão,variante_leiga,assets/textos/texto_02_hipertensao-pressao-alta-ministerio-saude.txt,"Os sintomas da hipertensão costumam aparecer somente quando a pressão sobe muito: podem ocorrer dores no peito, dor de cabeça, tonturas, zumbido no ouvido, fraqueza, visão embaçada e sangramento nasal.",Próximo de alteração na visão (AVC): ambiguidade de conceito.
sangramento nasal,sangue pelo nariz,Hipertensão,variante_leiga,assets/textos/texto_02_hipertensao-pressao-alta-ministerio-saude.txt,"Os sintomas da hipertensão costumam aparecer somente quando a pressão sobe muito: podem ocorrer dores no peito, dor de cabeça, tonturas, zumbido no ouvido, fraqueza, visão embaçada e sangramento nasal.",Só aparece em Hipertensão.
sangramento nasal,nariz sangrando,Hipertensão,variante_leiga,assets/textos/texto_02_hipertensao-pressao-alta-ministerio-saude.txt,"Os sintomas da hipertensão costumam aparecer somente quando a pressão sobe muito: podem ocorrer dores no peito, dor de cabeça, tonturas, zumbido no ouvido, fraqueza, visão embaçada e sangramento nasal.",Só aparece em Hipertensão.
dor no peito,desconforto na região peitoral,Infarto,literal,assets/textos/fase-02/texto_03_infarto-ministerio-saude.txt,"Se sentir dor no peito, suor frio, palidez e sensação de desmaio, | Dor ou desconforto na região peitoral, podendo irradiar para as costas, rosto, braço esquerdo e, raramente, braço direito.","Dois termos literais da mesma página para o mesmo sintoma. Compartilhado com Hipertensão (dores no peito)."
dor no peito,peito doendo,Infarto,variante_leiga,assets/textos/fase-02/texto_03_infarto-ministerio-saude.txt,"Se sentir dor no peito, suor frio, palidez e sensação de desmaio,",Compartilhado com Hipertensão (mesma variante).
desconforto na região peitoral,desconforto no peito,Infarto,variante_leiga,assets/textos/fase-02/texto_03_infarto-ministerio-saude.txt,"Dor ou desconforto na região peitoral, podendo irradiar para as costas, rosto, braço esquerdo e, raramente, braço direito.",
braço esquerdo,dor no braço esquerdo,Infarto,variante_leiga,assets/textos/fase-02/texto_03_infarto-ministerio-saude.txt,"Dor ou desconforto na região peitoral, podendo irradiar para as costas, rosto, braço esquerdo e, raramente, braço direito.","O termo literal é o LOCAL da irradiação da dor no peito, não um sintoma isolado: a página diz que a dor ou desconforto na região peitoral pode irradiar para as costas, rosto e braço esquerdo. Incluído pela fonte e pela relevância clínica (irradiação para o braço esquerdo é o sinal clássico de infarto), não por frase de teste."
braço esquerdo,dor que vai para o braço esquerdo,Infarto,variante_leiga,assets/textos/fase-02/texto_03_infarto-ministerio-saude.txt,"Dor ou desconforto na região peitoral, podendo irradiar para as costas, rosto, braço esquerdo e, raramente, braço direito.","O termo literal é o LOCAL da irradiação da dor no peito, não um sintoma isolado: a página diz que a dor ou desconforto na região peitoral pode irradiar para as costas, rosto e braço esquerdo. Incluído pela fonte e pela relevância clínica (irradiação para o braço esquerdo é o sinal clássico de infarto), não por frase de teste."
aperto sobre o tórax,sensação de peso,Infarto,literal,assets/textos/fase-02/texto_03_infarto-ministerio-saude.txt,"Essa dor costuma ser intensa e prolongada, acompanhada de sensação de peso ou aperto sobre o tórax, provocando suor frio, palidez, falta de ar e sensação de desmaio.","Leitura do grupo: a página apresenta sensação de peso e aperto como alternativas (""peso ou aperto sobre o tórax"") para a mesma sensação no peito."
aperto sobre o tórax,aperto no peito,Infarto,variante_leiga,assets/textos/fase-02/texto_03_infarto-ministerio-saude.txt,"Essa dor costuma ser intensa e prolongada, acompanhada de sensação de peso ou aperto sobre o tórax, provocando suor frio, palidez, falta de ar e sensação de desmaio.",
aperto sobre o tórax,peito apertado,Infarto,variante_leiga,assets/textos/fase-02/texto_03_infarto-ministerio-saude.txt,"Essa dor costuma ser intensa e prolongada, acompanhada de sensação de peso ou aperto sobre o tórax, provocando suor frio, palidez, falta de ar e sensação de desmaio.",
sensação de peso,peso no peito,Infarto,variante_leiga,assets/textos/fase-02/texto_03_infarto-ministerio-saude.txt,"Essa dor costuma ser intensa e prolongada, acompanhada de sensação de peso ou aperto sobre o tórax, provocando suor frio, palidez, falta de ar e sensação de desmaio.",
suor frio,suando frio,Infarto,variante_leiga,assets/textos/fase-02/texto_03_infarto-ministerio-saude.txt,"Essa dor costuma ser intensa e prolongada, acompanhada de sensação de peso ou aperto sobre o tórax, provocando suor frio, palidez, falta de ar e sensação de desmaio.",
suor frio,suor gelado,Infarto,variante_leiga,assets/textos/fase-02/texto_03_infarto-ministerio-saude.txt,"Essa dor costuma ser intensa e prolongada, acompanhada de sensação de peso ou aperto sobre o tórax, provocando suor frio, palidez, falta de ar e sensação de desmaio.",
palidez,pálido,Infarto,variante_leiga,assets/textos/fase-02/texto_03_infarto-ministerio-saude.txt,"Essa dor costuma ser intensa e prolongada, acompanhada de sensação de peso ou aperto sobre o tórax, provocando suor frio, palidez, falta de ar e sensação de desmaio.",A flexão feminina (pálida) fica para a normalização do extrator.
falta de ar,sem fôlego,Infarto,variante_leiga,assets/textos/fase-02/texto_03_infarto-ministerio-saude.txt,"Essa dor costuma ser intensa e prolongada, acompanhada de sensação de peso ou aperto sobre o tórax, provocando suor frio, palidez, falta de ar e sensação de desmaio. | Em idosos, o principal sintoma do infarto agudo do miocárdio pode ser a falta de ar.",Em idosos a falta de ar pode ser o principal sintoma (segundo trecho).
falta de ar,dificuldade para respirar,Infarto,variante_leiga,assets/textos/fase-02/texto_03_infarto-ministerio-saude.txt,"Essa dor costuma ser intensa e prolongada, acompanhada de sensação de peso ou aperto sobre o tórax, provocando suor frio, palidez, falta de ar e sensação de desmaio. | Em idosos, o principal sintoma do infarto agudo do miocárdio pode ser a falta de ar.",Em idosos a falta de ar pode ser o principal sintoma (segundo trecho).
falta de ar,faltando o ar,Infarto,variante_leiga,assets/textos/fase-02/texto_03_infarto-ministerio-saude.txt,"Essa dor costuma ser intensa e prolongada, acompanhada de sensação de peso ou aperto sobre o tórax, provocando suor frio, palidez, falta de ar e sensação de desmaio. | Em idosos, o principal sintoma do infarto agudo do miocárdio pode ser a falta de ar.",Em idosos a falta de ar pode ser o principal sintoma (segundo trecho).
sensação de desmaio,quase desmaiei,Infarto,variante_leiga,assets/textos/fase-02/texto_03_infarto-ministerio-saude.txt,"Essa dor costuma ser intensa e prolongada, acompanhada de sensação de peso ou aperto sobre o tórax, provocando suor frio, palidez, falta de ar e sensação de desmaio.",
sensação de desmaio,quase desmaiando,Infarto,variante_leiga,assets/textos/fase-02/texto_03_infarto-ministerio-saude.txt,"Essa dor costuma ser intensa e prolongada, acompanhada de sensação de peso ou aperto sobre o tórax, provocando suor frio, palidez, falta de ar e sensação de desmaio.",
mal-estar súbito,mal-estar de repente,Infarto,variante_leiga,assets/textos/fase-02/texto_03_infarto-ministerio-saude.txt,"Nos diabéticos e idosos, o infarto também pode ocorrer sem sinais específicos. Por isso, deve-se estar atento a qualquer mal-estar súbito.","Apresentação atípica (diabéticos e idosos). A variante preserva o súbito; mal-estar sozinho não entra, porque sem o súbito o termo perde o sentido de alerta."
mal-estar súbito,mal-estar repentino,Infarto,variante_leiga,assets/textos/fase-02/texto_03_infarto-ministerio-saude.txt,"Nos diabéticos e idosos, o infarto também pode ocorrer sem sinais específicos. Por isso, deve-se estar atento a qualquer mal-estar súbito.","Apresentação atípica (diabéticos e idosos). A página repete este item 3×; entra uma vez por variante."
confusão mental,confuso,AVC,variante_leiga,assets/textos/fase-02/texto_04_avc-ministerio-saude.txt,Confusão mental;,A flexão feminina (confusa) fica para a normalização do extrator.
confusão mental,desorientado,AVC,variante_leiga,assets/textos/fase-02/texto_04_avc-ministerio-saude.txt,Confusão mental;,
alteração da fala ou compreensão,fala enrolada,AVC,variante_leiga,assets/textos/fase-02/texto_04_avc-ministerio-saude.txt,Alteração da falar ou compreensão;,"Sintoma 1 = correção de ""Alteração da falar ou compreensão"": a página traz ""da falar"" (erro de digitação da fonte, preservado em trecho_literal); o termo com erro não serve para casar com fala de paciente."
alteração da fala ou compreensão,dificuldade para falar,AVC,variante_leiga,assets/textos/fase-02/texto_04_avc-ministerio-saude.txt,Alteração da falar ou compreensão;,"Sintoma 1 = correção de ""Alteração da falar ou compreensão"": a página traz ""da falar"" (erro de digitação da fonte, preservado em trecho_literal); o termo com erro não serve para casar com fala de paciente."
alteração da fala ou compreensão,dificuldade para entender,AVC,variante_leiga,assets/textos/fase-02/texto_04_avc-ministerio-saude.txt,Alteração da falar ou compreensão;,"Sintoma 1 = correção de ""Alteração da falar ou compreensão"": a página traz ""da falar"" (erro de digitação da fonte, preservado em trecho_literal); o termo com erro não serve para casar com fala de paciente. Variante do lado da compreensão."
alteração na visão,vista embaralhada,AVC,variante_leiga,assets/textos/fase-02/texto_04_avc-ministerio-saude.txt,Alteração na visão (em um ou ambos os olhos);,Próximo de visão embaçada (Hipertensão): ambiguidade de conceito.
alteração na visão,enxergando mal,AVC,variante_leiga,assets/textos/fase-02/texto_04_avc-ministerio-saude.txt,Alteração na visão (em um ou ambos os olhos);,Próximo de visão embaçada (Hipertensão): ambiguidade de conceito.
dor de cabeça súbita,dor de cabeça forte de repente,AVC,variante_leiga,assets/textos/fase-02/texto_04_avc-ministerio-saude.txt,"Dor de cabeça súbita, intensa, sem causa aparente;",Compartilhado com Hipertensão (dor de cabeça). O que distingue na fonte é súbita e intensa.
dor de cabeça súbita,dor de cabeça repentina,AVC,variante_leiga,assets/textos/fase-02/texto_04_avc-ministerio-saude.txt,"Dor de cabeça súbita, intensa, sem causa aparente;",Compartilhado com Hipertensão (dor de cabeça). O que distingue na fonte é súbita e intensa.
alteração do equilíbrio,perdendo o equilíbrio,AVC,variante_leiga,assets/textos/fase-02/texto_04_avc-ministerio-saude.txt,"Alteração do equilíbrio, coordenação, tontura ou alteração no andar;",
alteração do equilíbrio,falta de equilíbrio,AVC,variante_leiga,assets/textos/fase-02/texto_04_avc-ministerio-saude.txt,"Alteração do equilíbrio, coordenação, tontura ou alteração no andar;",
tontura,tonto,AVC,variante_leiga,assets/textos/fase-02/texto_04_avc-ministerio-saude.txt,"Alteração do equilíbrio, coordenação, tontura ou alteração no andar;",Compartilhado com Hipertensão (tonturas; mesma variante).
tontura,cabeça rodando,AVC,variante_leiga,assets/textos/fase-02/texto_04_avc-ministerio-saude.txt,"Alteração do equilíbrio, coordenação, tontura ou alteração no andar;",Compartilhado com Hipertensão (tonturas; mesma variante).
alteração no andar,andando torto,AVC,variante_leiga,assets/textos/fase-02/texto_04_avc-ministerio-saude.txt,"Alteração do equilíbrio, coordenação, tontura ou alteração no andar;",
alteração no andar,dificuldade para andar,AVC,variante_leiga,assets/textos/fase-02/texto_04_avc-ministerio-saude.txt,"Alteração do equilíbrio, coordenação, tontura ou alteração no andar;",
fraqueza,braço fraco,AVC,variante_leiga,assets/textos/fase-02/texto_04_avc-ministerio-saude.txt,"Fraqueza ou formigamento em um lado do corpo (rosto, braço ou perna).","Compartilhado com Hipertensão. Na fonte do AVC a fraqueza é em um lado do corpo (rosto, braço ou perna)."
fraqueza,perna fraca,AVC,variante_leiga,assets/textos/fase-02/texto_04_avc-ministerio-saude.txt,"Fraqueza ou formigamento em um lado do corpo (rosto, braço ou perna).","Compartilhado com Hipertensão. Na fonte do AVC a fraqueza é em um lado do corpo (rosto, braço ou perna)."
