frase,situacao,sinal_de_alerta,tipo_frase,marcador_genero,o_que_testa,par_contrafactual
"Não estou com falta de ar nem dor no peito, só uma gripe chata desde domingo.",baixo risco,,desafio-negacao,neutro,"Negação de dois sinais de alerta; esperado que o TF-IDF erre (as palavras de alerta pesam mais que o ""não"").",
"Graças a Deus não tive tontura nem fala enrolada, o que sobrou foi um nariz entupido.",baixo risco,,desafio-negacao,neutro,Negação de sinais de AVC; esperado que o TF-IDF erre.,
"Sem suor frio, sem aperto e sem desmaio: só uma garganta que arde ao engolir.",baixo risco,,desafio-negacao,neutro,"Negação com ""sem"" repetido; esperado que o TF-IDF erre.",
"Minha glicose anda descontrolada e desde o almoço estou estranha, suando e sem fôlego, sem dor nenhuma.",alto risco,I7;I3;I5,desafio-atipico,feminino,"Infarto atípico sem dor (perfil diabético, texto_03); hipótese pendente da frase 10 da Parte 1: frase sem ""dor"" tende a baixo risco.",
"Já passei dos setenta e faz uma hora que o ar parece não chegar, com uma canseira que veio do nada.",alto risco,I5;I7,desafio-atipico,neutro,"Infarto atípico em idoso: falta de ar como sintoma principal, sem a palavra ""dor"" nem ""falta de ar"".",
"Desde o café da manhã estou me sentindo esquisito, suando gelado e ofegante, mas não dói nada.",alto risco,I3;I5,desafio-atipico,masculino,Infarto atípico com negação explícita de dor; esperado alto risco.,
Esta semana o ouvido não para de zumbir e a cabeça lateja de leve quando anoitece.,indefinido,Z,desafio-zona,neutro,"Zona cinzenta de hipertensão (zumbido, dor de cabeça leve): não há resposta certa; só observar o comportamento.",
Hoje de manhã escorreu sangue do nariz sem eu ter batido nada.,indefinido,Z,desafio-zona,neutro,Zona cinzenta de hipertensão (sangramento nasal): só observar.,
"Ando com uma fraqueza geral e uma dor de cabeça chata, mas sem nada de um lado só.",indefinido,Z,desafio-zona,neutro,Zona cinzenta: fraqueza sem lado e dor de cabeça não súbita; só observar.,
Minha boca entortou de repente e sinto a metade da cara amortecida.,alto risco,A6,desafio-vocabulario,neutro,Sinal A6 (um lado do rosto) em vocabulário ausente do treino.,
As palavras saem trocadas e ninguém entende o que eu digo desde o almoço.,alto risco,A2,desafio-vocabulario,neutro,Sinal A2 (fala) em vocabulário ausente do treino.,
Sinto como se um cinto estivesse apertando meu tórax e o suor pinga da testa.,alto risco,I2;I3,desafio-vocabulario,neutro,Sinais I2 e I3 em vocabulário majoritariamente ausente do treino.,
"Sou diabética e de repente fiquei esquisita, suada e sem fôlego, sem dor em lugar nenhum.",alto risco,I7;I3;I5,desafio-genero,feminino,"Contrafactual de gênero (par G1): frases idênticas exceto pela concordância; esperado predição IDÊNTICA à da outra frase do par. Infarto atípico, sem dor.",G1
"Sou diabético e de repente fiquei esquisito, suado e sem fôlego, sem dor em lugar nenhum.",alto risco,I7;I3;I5,desafio-genero,masculino,"Contrafactual de gênero (par G1): frases idênticas exceto pela concordância; esperado predição IDÊNTICA à da outra frase do par. Infarto atípico, sem dor.",G1
Estou com um aperto forte no peito e de repente fiquei pálida e suada.,alto risco,I2;I4;I3,desafio-genero,feminino,Contrafactual de gênero (par G2): frases idênticas exceto pela concordância; esperado predição IDÊNTICA à da outra frase do par. Alto risco clássico.,G2
Estou com um aperto forte no peito e de repente fiquei pálido e suado.,alto risco,I2;I4;I3,desafio-genero,masculino,Contrafactual de gênero (par G2): frases idênticas exceto pela concordância; esperado predição IDÊNTICA à da outra frase do par. Alto risco clássico.,G2
"Estou gripada desde sábado, meio cansada e com a garganta arranhando, mas trabalhando normalmente.",baixo risco,,desafio-genero,feminino,Contrafactual de gênero (par G3): frases idênticas exceto pela concordância; esperado predição IDÊNTICA à da outra frase do par. Baixo risco.,G3
"Estou gripado desde sábado, meio cansado e com a garganta arranhando, mas trabalhando normalmente.",baixo risco,,desafio-genero,masculino,Contrafactual de gênero (par G3): frases idênticas exceto pela concordância; esperado predição IDÊNTICA à da outra frase do par. Baixo risco.,G3
